payment_id,observation_at,observed_status_at_snapshot,amount,payment_method,bank,hour_of_day,day_of_week,previous_payment_count,previous_success_rate,merchant_type,event_count,duplicate_event_count,event_order_anomaly,time_since_payment_sec,time_since_last_event_sec,source,true_final_state,final_observed_state,resolved_at,time_to_resolution_sec,scenario,incident_id,is_hard_negative
P0000000,2026-01-01T08:46:04.899374,PENDING,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,1,0,False,5,2.95,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000000,2026-01-01T08:46:14.899374,SUCCESS,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,4,1,False,15,4.38,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000000,2026-01-01T08:46:29.899374,SUCCESS,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,4,1,False,30,19.38,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000000,2026-01-01T08:46:59.899374,SUCCESS,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,4,1,False,60,49.38,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000000,2026-01-01T08:48:59.899374,SUCCESS,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,4,1,False,180,169.38,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000000,2026-01-01T08:55:59.899374,SUCCESS,548.15,NETBANKING,BANK_B,8,3,0,0.934,upi_heavy,4,1,False,600,589.38,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000001,2026-01-01T12:08:07.100184,PENDING,235.99,WALLET,BANK_A,12,3,13,0.808,small,1,0,False,5,4.35,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000001,2026-01-01T12:08:17.100184,SUCCESS,235.99,WALLET,BANK_A,12,3,13,0.808,small,3,0,False,15,7.68,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000001,2026-01-01T12:08:32.100184,SUCCESS,235.99,WALLET,BANK_A,12,3,13,0.808,small,3,0,False,30,22.68,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000001,2026-01-01T12:09:02.100184,SUCCESS,235.99,WALLET,BANK_A,12,3,13,0.808,small,3,0,False,60,52.68,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000001,2026-01-01T12:11:02.100184,SUCCESS,235.99,WALLET,BANK_A,12,3,13,0.808,small,3,0,False,180,172.68,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000001,2026-01-01T12:18:02.100184,SUCCESS,235.99,WALLET,BANK_A,12,3,13,0.808,small,3,0,False,600,592.68,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000002,2026-01-01T11:30:24.584302,PENDING,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,2,0,False,5,1.6,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000002,2026-01-01T11:30:34.584302,SUCCESS,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,3,0,False,15,9.34,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000002,2026-01-01T11:30:49.584302,SUCCESS,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,3,0,False,30,24.34,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000002,2026-01-01T11:31:19.584302,SUCCESS,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,3,0,False,60,54.34,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000002,2026-01-01T11:33:19.584302,SUCCESS,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,3,0,False,180,174.34,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000002,2026-01-01T11:40:19.584302,SUCCESS,1566.36,UPI,BANK_D,11,3,0,0.909,card_heavy,3,0,False,600,594.34,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000003,2026-01-01T12:52:09.151170,PENDING,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,1,0,False,5,3.76,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000003,2026-01-01T12:52:19.151170,SUCCESS,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,3,0,False,15,5.17,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000003,2026-01-01T12:52:34.151170,SUCCESS,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,3,0,False,30,20.17,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000003,2026-01-01T12:53:04.151170,SUCCESS,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,3,0,False,60,50.17,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000003,2026-01-01T12:55:04.151170,SUCCESS,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,3,0,False,180,170.17,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000003,2026-01-01T13:02:04.151170,SUCCESS,527.29,UPI,BANK_D,12,3,5,0.967,upi_heavy,3,0,False,600,590.17,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000004,2026-01-01T15:11:03.525990,PENDING,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,2,0,False,5,0.75,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000004,2026-01-01T15:11:13.525990,SUCCESS,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,3,0,False,15,6.63,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000004,2026-01-01T15:11:28.525990,SUCCESS,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,3,0,False,30,21.63,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000004,2026-01-01T15:11:58.525990,SUCCESS,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,3,0,False,60,51.63,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000004,2026-01-01T15:13:58.525990,SUCCESS,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,3,0,False,180,171.63,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000004,2026-01-01T15:20:58.525990,SUCCESS,2736.13,CARD,BANK_A,15,3,1,0.632,upi_heavy,3,0,False,600,591.63,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000005,2026-01-01T14:34:21.243010,PENDING,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,2,0,False,5,2.13,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000005,2026-01-01T14:34:31.243010,SUCCESS,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,3,0,False,15,7.59,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000005,2026-01-01T14:34:46.243010,SUCCESS,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,3,0,False,30,22.59,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000005,2026-01-01T14:35:16.243010,SUCCESS,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,3,0,False,60,52.59,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000005,2026-01-01T14:37:16.243010,SUCCESS,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,3,0,False,180,172.59,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000005,2026-01-01T14:44:16.243010,SUCCESS,2164.54,NETBANKING,BANK_C,14,3,6,0.905,high_ticket,3,0,False,600,592.59,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000006,2026-01-01T09:01:08.714431,PENDING,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,3,1,False,5,0.55,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000006,2026-01-01T09:01:18.714431,SUCCESS,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,4,1,False,15,8.89,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000006,2026-01-01T09:01:33.714431,SUCCESS,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,4,1,False,30,23.89,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000006,2026-01-01T09:02:03.714431,SUCCESS,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,4,1,False,60,53.89,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000006,2026-01-01T09:04:03.714431,SUCCESS,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,4,1,False,180,173.89,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000006,2026-01-01T09:11:03.714431,SUCCESS,497.77,NETBANKING,BANK_B,9,3,10,0.85,card_heavy,4,1,False,600,593.89,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000007,2026-01-01T16:09:57.541277,PENDING,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,2,0,False,5,0.07,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000007,2026-01-01T16:10:07.541277,SUCCESS,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,3,0,False,15,5.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000007,2026-01-01T16:10:22.541277,SUCCESS,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,3,0,False,30,20.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000007,2026-01-01T16:10:52.541277,SUCCESS,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,3,0,False,60,50.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000007,2026-01-01T16:12:52.541277,SUCCESS,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,3,0,False,180,170.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000007,2026-01-01T16:19:52.541277,SUCCESS,223.94,NETBANKING,BANK_B,16,3,15,0.886,card_heavy,3,0,False,600,590.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000008,2026-01-01T20:25:52.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,5,2.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000008,2026-01-01T20:26:02.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,15,12.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000008,2026-01-01T20:26:17.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,30,27.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000008,2026-01-01T20:26:47.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,60,57.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000008,2026-01-01T20:28:47.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,180,177.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000008,2026-01-01T20:35:47.639837,FAILED,3646.15,NETBANKING,BANK_B,20,3,4,0.837,stable,2,0,False,600,597.05,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000009,2026-01-01T15:59:44.067156,PENDING,243.73,UPI,BANK_E,15,3,12,0.878,small,2,0,False,5,1.12,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000009,2026-01-01T15:59:54.067156,SUCCESS,243.73,UPI,BANK_E,15,3,12,0.878,small,3,0,False,15,7.4,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000009,2026-01-01T16:00:09.067156,SUCCESS,243.73,UPI,BANK_E,15,3,12,0.878,small,3,0,False,30,22.4,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000009,2026-01-01T16:00:39.067156,SUCCESS,243.73,UPI,BANK_E,15,3,12,0.878,small,3,0,False,60,52.4,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000009,2026-01-01T16:02:39.067156,SUCCESS,243.73,UPI,BANK_E,15,3,12,0.878,small,3,0,False,180,172.4,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000009,2026-01-01T16:09:39.067156,SUCCESS,243.73,UPI,BANK_E,15,3,12,0.878,small,3,0,False,600,592.4,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000010,2026-01-01T17:30:32.067938,PENDING,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,1,0,False,5,4.49,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000010,2026-01-01T17:30:42.067938,PENDING,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,2,0,False,15,8.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000010,2026-01-01T17:30:57.067938,PENDING,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,2,0,False,30,23.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000010,2026-01-01T17:31:27.067938,PENDING,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,2,0,False,60,53.58,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000010,2026-01-01T17:33:27.067938,SUCCESS,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,3,0,False,180,1.85,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000010,2026-01-01T17:40:27.067938,SUCCESS,285.66,WALLET,BANK_E,17,3,0,0.904,upi_heavy,3,0,False,600,421.85,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000011,2026-01-01T08:58:38.085445,PENDING,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,2,0,False,5,2.86,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000011,2026-01-01T08:58:48.085445,SUCCESS,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,3,0,False,15,9.93,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000011,2026-01-01T08:59:03.085445,SUCCESS,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,3,0,False,30,24.93,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000011,2026-01-01T08:59:33.085445,SUCCESS,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,3,0,False,60,54.93,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000011,2026-01-01T09:01:33.085445,SUCCESS,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,3,0,False,180,174.93,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000011,2026-01-01T09:08:33.085445,SUCCESS,1628.65,NETBANKING,BANK_D,8,3,5,0.944,stable,3,0,False,600,594.93,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000012,2026-01-01T04:30:28.738869,PENDING,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,2,0,False,5,0.84,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000012,2026-01-01T04:30:38.738869,PENDING,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,3,1,False,15,3.97,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000012,2026-01-01T04:30:53.738869,PENDING,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,3,1,False,30,18.97,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000012,2026-01-01T04:31:23.738869,PENDING,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,3,1,False,60,48.97,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000012,2026-01-01T04:33:23.738869,PENDING,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,3,1,False,180,168.97,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000012,2026-01-01T04:40:23.738869,SUCCESS,396.97,NETBANKING,BANK_D,4,3,5,0.708,small,4,1,False,600,407.19,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000013,2026-01-01T22:25:56.982469,PENDING,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,3,1,False,5,1.18,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000013,2026-01-01T22:26:06.982469,SUCCESS,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,4,1,False,15,6.16,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000013,2026-01-01T22:26:21.982469,SUCCESS,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,4,1,False,30,21.16,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000013,2026-01-01T22:26:51.982469,SUCCESS,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,4,1,False,60,51.16,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000013,2026-01-01T22:28:51.982469,SUCCESS,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,4,1,False,180,171.16,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000013,2026-01-01T22:35:51.982469,SUCCESS,231.62,CARD,BANK_B,22,3,22,0.876,high_ticket,4,1,False,600,591.16,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000014,2026-01-01T23:17:06.433656,PENDING,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,1,0,False,5,4.18,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000014,2026-01-01T23:17:16.433656,SUCCESS,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,3,0,False,15,4.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000014,2026-01-01T23:17:31.433656,SUCCESS,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,3,0,False,30,19.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000014,2026-01-01T23:18:01.433656,SUCCESS,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,3,0,False,60,49.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000014,2026-01-01T23:20:01.433656,SUCCESS,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,3,0,False,180,169.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000014,2026-01-01T23:27:01.433656,SUCCESS,819.77,UPI,BANK_C,23,3,5,0.94,card_heavy,3,0,False,600,589.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000015,2026-01-01T10:06:44.933342,PENDING,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,1,0,False,5,4.73,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000015,2026-01-01T10:06:54.933342,SUCCESS,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,3,0,False,15,6.15,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000015,2026-01-01T10:07:09.933342,SUCCESS,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,3,0,False,30,21.15,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000015,2026-01-01T10:07:39.933342,SUCCESS,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,3,0,False,60,51.15,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000015,2026-01-01T10:09:39.933342,SUCCESS,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,3,0,False,180,171.15,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000015,2026-01-01T10:16:39.933342,SUCCESS,271.03,NETBANKING,BANK_B,10,3,11,0.888,subscription_heavy,3,0,False,600,591.15,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000016,2026-01-01T08:34:09.706612,PENDING,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,3,1,True,5,0.96,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000016,2026-01-01T08:34:19.706612,SUCCESS,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,4,1,True,15,9.9,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000016,2026-01-01T08:34:34.706612,SUCCESS,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,4,1,True,30,24.9,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000016,2026-01-01T08:35:04.706612,SUCCESS,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,4,1,True,60,54.9,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000016,2026-01-01T08:37:04.706612,SUCCESS,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,4,1,True,180,174.9,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000016,2026-01-01T08:44:04.706612,SUCCESS,203.84,NETBANKING,BANK_A,8,3,14,0.887,high_ticket,4,1,True,600,594.9,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000017,2026-01-01T12:28:05.162656,PENDING,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,2,0,False,5,0.18,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000017,2026-01-01T12:28:15.162656,SUCCESS,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,4,1,False,15,9.65,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000017,2026-01-01T12:28:30.162656,SUCCESS,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,4,1,False,30,24.65,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000017,2026-01-01T12:29:00.162656,SUCCESS,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,4,1,False,60,54.65,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000017,2026-01-01T12:31:00.162656,SUCCESS,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,4,1,False,180,174.65,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000017,2026-01-01T12:38:00.162656,SUCCESS,1848.09,WALLET,BANK_C,12,3,0,0.865,card_heavy,4,1,False,600,594.65,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000018,2026-01-01T16:11:31.644799,PENDING,120.28,UPI,BANK_D,16,3,3,0.748,subscription_heavy,2,0,False,5,2.06,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:12:17.460350,50.82,late_capture,,False
P0000018,2026-01-01T16:11:41.644799,PENDING,120.28,UPI,BANK_D,16,3,3,0.748,subscription_heavy,4,1,False,15,4.39,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:12:17.460350,50.82,late_capture,,False
