event_id,payment_id,event_type,event_time,received_time,sequence_number,duplicate_flag,out_of_order_flag,source
EV000000000,P0000000,payment.attempted,2026-01-01T05:36:23.991417,2026-01-01T05:36:25.399219,0,False,False,SYNTHETIC
EV000000001,P0000000,payment.authorized,2026-01-01T05:36:26.714704,2026-01-01T05:36:27.474503,1,False,False,SYNTHETIC
EV000000002,P0000000,payment.failed,2026-01-01T05:36:31.195371,2026-01-01T05:36:32.141908,2,False,False,SYNTHETIC
EV000000003,P0000000,payment.captured,2026-01-01T05:37:36.947218,2026-01-01T05:37:37.653196,3,False,False,SYNTHETIC
EV000000100,P0000001,payment.attempted,2026-01-01T05:03:41.340436,2026-01-01T05:03:42.743029,0,False,False,SYNTHETIC
EV000000101,P0000001,payment.authorized,2026-01-01T05:03:42.763467,2026-01-01T05:03:43.201986,1,False,False,SYNTHETIC
EV000000102,P0000001,payment.captured,2026-01-01T05:03:46.864505,2026-01-01T05:03:48.048676,2,False,False,SYNTHETIC
EV000000200,P0000002,payment.attempted,2026-01-01T19:34:40.967515,2026-01-01T19:34:41.057102,0,False,False,SYNTHETIC
EV000000201,P0000002,payment.authorized,2026-01-01T19:34:44.556294,2026-01-01T19:34:44.943004,1,False,False,SYNTHETIC
EV000000202,P0000002,payment.captured,2026-01-01T19:34:45.778584,2026-01-01T19:34:46.727607,2,False,False,SYNTHETIC
EV000000300,P0000003,payment.attempted,2026-01-01T08:42:17.426078,2026-01-01T08:42:18.780439,0,False,False,SYNTHETIC
EV000000301,P0000003,payment.failed,2026-01-01T08:42:23.897896,2026-01-01T08:42:25.221587,1,False,False,SYNTHETIC
EV000000400,P0000004,payment.attempted,2026-01-01T02:46:24.013798,2026-01-01T02:46:24.441138,0,False,False,SYNTHETIC
EV000000401,P0000004,payment.authorized,2026-01-01T02:46:25.560925,2026-01-01T02:46:27.152700,1,False,False,SYNTHETIC
EV000000402,P0000004,payment.captured,2026-01-01T02:46:29.161547,2026-01-01T02:46:29.414902,2,False,False,SYNTHETIC
EV000000500,P0000005,payment.attempted,2026-01-01T06:31:04.475430,2026-01-01T06:31:05.530965,0,False,False,SYNTHETIC
EV000000500D,P0000005,payment.attempted,2026-01-01T06:31:04.475430,2026-01-01T06:31:05.897169,0,True,False,SYNTHETIC
EV000000501,P0000005,payment.authorized,2026-01-01T06:31:08.772544,2026-01-01T06:31:09.439439,1,False,False,SYNTHETIC
EV000000502,P0000005,payment.captured,2026-01-01T06:37:10.450132,2026-01-01T06:37:11.027066,2,False,False,SYNTHETIC
EV000000600,P0000006,payment.attempted,2026-01-01T00:03:44.307898,2026-01-01T00:03:45.028289,0,False,False,SYNTHETIC
EV000000601,P0000006,payment.authorized,2026-01-01T00:03:45.769553,2026-01-01T00:03:46.465413,1,False,False,SYNTHETIC
EV000000602,P0000006,payment.failed,2026-01-01T00:03:55.041422,2026-01-01T00:03:57.017627,2,False,False,SYNTHETIC
EV000000603,P0000006,payment.captured,2026-01-01T00:06:18.336518,2026-01-01T00:06:19.179713,3,False,False,SYNTHETIC
EV000000603D,P0000006,payment.captured,2026-01-01T00:06:18.336518,2026-01-01T00:06:35.183203,3,True,False,SYNTHETIC
EV000000700,P0000007,payment.attempted,2026-01-01T23:41:29.459202,2026-01-01T23:41:30.198468,0,False,False,SYNTHETIC
EV000000701,P0000007,payment.authorized,2026-01-01T23:41:31.879987,2026-01-01T23:41:32.418566,1,False,False,SYNTHETIC
EV000000702,P0000007,payment.captured,2026-01-01T23:41:35.737606,2026-01-01T23:41:37.563890,2,False,False,SYNTHETIC
EV000000800,P0000008,payment.attempted,2026-01-01T08:06:07.511394,2026-01-01T08:06:08.730370,0,False,False,SYNTHETIC
EV000000801,P0000008,payment.authorized,2026-01-01T08:06:11.745767,2026-01-01T08:06:12.432667,1,False,False,SYNTHETIC
EV000000802,P0000008,payment.captured,2026-01-01T08:06:14.626874,2026-01-01T08:06:18.071813,2,False,False,SYNTHETIC
EV000000802D,P0000008,payment.captured,2026-01-01T08:06:14.626874,2026-01-01T08:06:18.524233,2,True,False,SYNTHETIC
EV000000900,P0000009,payment.attempted,2026-01-01T08:24:00.198763,2026-01-01T08:24:01.371241,0,False,False,SYNTHETIC
EV000000901,P0000009,payment.authorized,2026-01-01T08:24:03.662487,2026-01-01T08:24:04.899972,1,False,False,SYNTHETIC
EV000000902,P0000009,payment.captured,2026-01-01T08:24:07.572543,2026-01-01T08:24:08.808874,2,False,False,SYNTHETIC
EV000001000,P0000010,payment.attempted,2026-01-01T10:58:55.197803,2026-01-01T10:58:55.479547,0,False,False,SYNTHETIC
EV000001001,P0000010,payment.authorized,2026-01-01T10:58:56.357061,2026-01-01T10:58:56.841701,1,False,False,SYNTHETIC
EV000001002,P0000010,payment.captured,2026-01-01T10:58:58.174932,2026-01-01T10:58:59.195789,2,False,False,SYNTHETIC
EV000001100,P0000011,payment.attempted,2026-01-01T07:52:15.025184,2026-01-01T07:52:54.487818,0,False,True,SYNTHETIC
