payment_id,order_id,customer_id,merchant_id,amount,currency,payment_method,bank,created_at,source,true_final_state,final_observed_state,resolved_at,time_to_resolution_sec,scenario,incident_id,is_hard_negative
P0000000,O0000000,C003566,M0005,548.15,INR,NETBANKING,BANK_B,2026-01-01T08:45:59.899374,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:46:09.797113,9.9,normal_success,,False
P0000001,O0000001,C003858,M0024,235.99,INR,WALLET,BANK_A,2026-01-01T12:08:02.100184,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:08:08.796929,6.7,normal_success,INC0000,False
P0000002,O0000002,C000504,M0010,1566.36,INR,UPI,BANK_D,2026-01-01T11:30:19.584302,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:30:24.455196,4.87,normal_success,,False
P0000003,O0000003,C001935,M0005,527.29,INR,UPI,BANK_D,2026-01-01T12:52:04.151170,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:52:12.876063,8.72,normal_success,,False
P0000004,O0000004,C003506,M0021,2736.13,INR,CARD,BANK_A,2026-01-01T15:10:58.525990,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:11:05.245746,6.72,normal_success,,False
P0000005,O0000005,C002869,M0023,2164.54,INR,NETBANKING,BANK_C,2026-01-01T14:34:16.243010,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:34:22.399753,6.16,normal_success,,False
P0000006,O0000006,C001240,M0017,497.77,INR,NETBANKING,BANK_B,2026-01-01T09:01:03.714431,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:01:09.337839,5.62,normal_success,,False
P0000007,O0000007,C002826,M0014,223.94,INR,NETBANKING,BANK_B,2026-01-01T16:09:52.541277,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:10:01.293386,8.75,normal_success,,False
P0000008,O0000008,C001198,M0018,3646.15,INR,NETBANKING,BANK_B,2026-01-01T20:25:47.639837,SYNTHETIC,FAILED,FAILED,2026-01-01T20:25:48.938785,1.3,genuine_failure,,False
P0000009,O0000009,C002197,M0019,243.73,INR,UPI,BANK_E,2026-01-01T15:59:39.067156,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:59:45.491278,6.42,normal_success,,False
P0000010,O0000010,C002540,M0005,285.66,INR,WALLET,BANK_E,2026-01-01T17:30:27.067938,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:33:22.533918,175.47,late_capture,,False
P0000011,O0000011,C000090,M0018,1628.65,INR,NETBANKING,BANK_D,2026-01-01T08:58:33.085445,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:58:37.947277,4.86,normal_success,,False
P0000012,O0000012,C001232,M0019,396.97,INR,NETBANKING,BANK_D,2026-01-01T04:30:23.738869,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:33:36.072475,192.33,late_capture,,False
P0000013,O0000013,C000160,M0023,231.62,INR,CARD,BANK_B,2026-01-01T22:25:51.982469,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:25:59.562765,7.58,normal_success,,False
P0000014,O0000014,C002820,M0010,819.77,INR,UPI,BANK_C,2026-01-01T23:17:01.433656,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:17:10.376346,8.94,normal_success,,True
P0000015,O0000015,C001434,M0000,271.03,INR,NETBANKING,BANK_B,2026-01-01T10:06:39.933342,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:06:48.228376,8.3,normal_success,,False
P0000016,O0000016,C000917,M0023,203.84,INR,NETBANKING,BANK_A,2026-01-01T08:34:04.706612,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:34:07.831880,3.13,normal_success,,False
P0000017,O0000017,C000744,M0017,1848.09,INR,WALLET,BANK_C,2026-01-01T12:28:00.162656,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:28:04.325128,4.16,normal_success,,False
P0000018,O0000018,C002621,M0000,120.28,INR,UPI,BANK_D,2026-01-01T16:11:26.644799,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:12:17.460350,50.82,late_capture,,False
P0000019,O0000019,C000218,M0012,674.88,INR,CARD,BANK_C,2026-01-01T11:49:04.241933,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:49:11.428528,7.19,normal_success,,False
P0000020,O0000020,C002758,M0001,803.07,INR,NETBANKING,BANK_C,2026-01-01T19:04:10.036438,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T19:04:18.236705,8.2,normal_success,,False
P0000021,O0000021,C001417,M0008,943.3,INR,WALLET,BANK_E,2026-01-01T09:35:22.499630,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:35:30.330303,7.83,normal_success,INC0000,False
P0000022,O0000022,C003703,M0021,5948.58,INR,WALLET,BANK_E,2026-01-01T12:13:53.750488,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:14:01.907479,8.16,normal_success,INC0000,False
P0000023,O0000023,C001253,M0012,138.63,INR,CARD,BANK_C,2026-01-01T07:36:47.750661,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T07:36:54.427433,6.68,normal_success,,False
P0000024,O0000024,C003420,M0024,481.92,INR,CARD,BANK_C,2026-01-01T05:39:21.722941,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T05:39:31.312933,9.59,normal_success,,False
P0000025,O0000025,C000288,M0021,85.52,INR,WALLET,BANK_C,2026-01-01T10:46:10.676245,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:46:21.159911,10.48,normal_success,INC0000,False
P0000026,O0000026,C001296,M0018,663.35,INR,WALLET,BANK_E,2026-01-01T13:28:00.286363,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T13:33:25.330028,325.04,late_capture,,False
P0000027,O0000027,C003512,M0006,107.85,INR,NETBANKING,BANK_E,2026-01-01T02:46:19.293935,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T02:46:28.940725,9.65,normal_success,,True
P0000028,O0000028,C001481,M0005,557.32,INR,UPI,BANK_C,2026-01-01T09:19:48.368356,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:19:51.867619,3.5,normal_success,,False
P0000029,O0000029,C002850,M0020,319.48,INR,CARD,BANK_C,2026-01-01T21:21:10.200822,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T21:21:15.860011,5.66,normal_success,,False
P0000030,O0000030,C002329,M0009,283.52,INR,WALLET,BANK_D,2026-01-01T20:46:21.521054,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T20:46:31.519375,10.0,normal_success,,False
P0000031,O0000031,C000537,M0004,7708.83,INR,NETBANKING,BANK_B,2026-01-01T19:33:07.361443,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T19:33:12.983020,5.62,normal_success,,False
P0000032,O0000032,C001716,M0023,487.02,INR,CARD,BANK_B,2026-01-01T06:13:14.074143,SYNTHETIC,FAILED,FAILED,2026-01-01T06:13:18.236649,4.16,genuine_failure,,False
P0000033,O0000033,C003296,M0009,995.19,INR,WALLET,BANK_E,2026-01-01T08:24:40.272519,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:27:57.492358,197.22,late_capture,,False
P0000034,O0000034,C003672,M0012,6514.9,INR,CARD,BANK_C,2026-01-01T07:24:00.243518,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T07:24:05.879791,5.64,normal_success,,False
P0000035,O0000035,C002366,M0023,370.5,INR,NETBANKING,BANK_D,2026-01-01T16:42:20.887086,SYNTHETIC,FAILED,FAILED,2026-01-01T16:42:28.223583,7.34,genuine_failure,,False
P0000036,O0000036,C003244,M0003,1082.89,INR,NETBANKING,BANK_B,2026-01-01T17:16:01.589975,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:16:10.970144,9.38,normal_success,,True
P0000037,O0000037,C001790,M0018,180.55,INR,NETBANKING,BANK_A,2026-01-01T08:25:38.041740,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:25:44.355236,6.31,normal_success,,False
P0000038,O0000038,C001104,M0007,804.49,INR,NETBANKING,BANK_D,2026-01-01T10:19:17.751426,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:19:21.035778,3.28,normal_success,,False
P0000039,O0000039,C001806,M0009,1458.36,INR,UPI,BANK_D,2026-01-01T21:51:06.665399,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T21:51:14.612112,7.95,normal_success,,False
P0000040,O0000040,C000538,M0018,3504.2,INR,CARD,BANK_A,2026-01-01T04:34:28.180026,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:34:34.804432,6.62,normal_success,,False
P0000041,O0000041,C001275,M0023,4686.6,INR,NETBANKING,BANK_E,2026-01-01T07:36:43.733843,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T07:36:53.039388,9.31,normal_success,,False
P0000042,O0000042,C003245,M0006,1045.03,INR,CARD,BANK_E,2026-01-01T12:17:25.718477,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:17:29.807640,4.09,normal_success,,True
P0000043,O0000043,C001230,M0017,143.73,INR,NETBANKING,BANK_D,2026-01-01T11:29:52.368534,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:29:57.700430,5.33,normal_success,,False
